mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.5556979894638061,0.05521567295717243,0.014365100860595703,0.0005641050511670099,True,134,7,10,16,263,"OrderedDict({'bootstrap': True, 'max_depth': 134, 'max_features': 7, 'min_samples_leaf': 10, 'min_samples_split': 16, 'n_estimators': 263})",0.25,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.425,0.11456439237389598,40
0.9650136232376099,0.16511189251718908,0.025328302383422853,0.004671081362936722,True,388,7,4,9,437,"OrderedDict({'bootstrap': True, 'max_depth': 388, 'max_features': 7, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 437})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.475,0.075,12
0.6038352489471436,0.06871032091564518,0.0174588680267334,0.0030438133855180453,True,454,6,4,6,281,"OrderedDict({'bootstrap': True, 'max_depth': 454, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 281})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.425,0.11456439237389601,40
0.3717750072479248,0.03323233064903847,0.011750388145446777,0.002935389131623911,True,69,7,9,12,171,"OrderedDict({'bootstrap': True, 'max_depth': 69, 'max_features': 7, 'min_samples_leaf': 9, 'min_samples_split': 12, 'n_estimators': 171})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
0.15436041355133057,0.01893154689933475,0.007228708267211914,0.0012946311201212804,True,475,4,9,19,81,"OrderedDict({'bootstrap': True, 'max_depth': 475, 'max_features': 4, 'min_samples_leaf': 9, 'min_samples_split': 19, 'n_estimators': 81})",0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.5,0.375,0.125,47
0.3487690448760986,0.03483934017737597,0.015288162231445312,0.0031987747601399125,True,406,3,6,19,182,"OrderedDict({'bootstrap': True, 'max_depth': 406, 'max_features': 3, 'min_samples_leaf': 6, 'min_samples_split': 19, 'n_estimators': 182})",0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.325,0.11456439237389598,49
0.30970427989959715,0.02582632888303019,0.010103631019592284,0.001830512211238388,True,336,7,3,15,135,"OrderedDict({'bootstrap': True, 'max_depth': 336, 'max_features': 7, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 135})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.1,25
0.1416651725769043,0.015370413200988472,0.006441664695739746,0.0009417209683041209,True,490,7,9,18,63,"OrderedDict({'bootstrap': True, 'max_depth': 490, 'max_features': 7, 'min_samples_leaf': 9, 'min_samples_split': 18, 'n_estimators': 63})",0.25,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.425,0.11456439237389598,40
0.37652900218963625,0.024117508450909427,0.00939028263092041,0.0013870441432228644,True,289,10,2,8,143,"OrderedDict({'bootstrap': True, 'max_depth': 289, 'max_features': 10, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 143})",0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.49722222222222223,0.5,0.5,0.4497222222222222,0.09986449152059339,37
0.8008062601089477,0.08111876672440553,0.022423410415649415,0.004100111628094935,True,300,5,3,9,379,"OrderedDict({'bootstrap': True, 'max_depth': 300, 'max_features': 5, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 379})",0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.45,0.1,25
