mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_custom,split1_test_custom,split2_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.3927401701609294,0.005612248571971921,0.035808165868123375,0.0009120514515938401,True,254,7,7,6,335,"OrderedDict({'bootstrap': True, 'max_depth': 254, 'max_features': 7, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 335})",0.09,0.2217391304347826,0.172,0.1612463768115942,0.05431715463023218,10,0.46068548387096775,0.4444444444444444,0.43478260869565216,0.4466375123370214,0.010687902683972015,42
0.5998729864756266,0.02160447762974238,0.051983277002970375,0.0009495994881072194,True,444,8,4,17,496,"OrderedDict({'bootstrap': True, 'max_depth': 444, 'max_features': 8, 'min_samples_leaf': 4, 'min_samples_split': 17, 'n_estimators': 496})",0.12380952380952381,0.0380952380952381,0.24545454545454545,0.1357864357864358,0.08507665328988107,21,0.5,0.442481884057971,0.4633152173913043,0.46859903381642515,0.0237770540983102,14
0.08250204722086589,0.004457394512278596,0.013190825780232748,0.0004055608811720813,True,198,4,9,6,73,"OrderedDict({'bootstrap': True, 'max_depth': 198, 'max_features': 4, 'min_samples_leaf': 9, 'min_samples_split': 6, 'n_estimators': 73})",0.11363636363636363,0.08571428571428572,0.2125,0.13728354978354976,0.05439391140096747,20,0.46606182795698925,0.41666666666666663,0.46875,0.45049283154121866,0.023943873813893575,33
0.5564966996510824,0.006575237088570043,0.05143364270528158,0.0006283018638191595,True,357,6,3,10,484,"OrderedDict({'bootstrap': True, 'max_depth': 357, 'max_features': 6, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 484})",0.16363636363636364,0.09473684210526316,0.0761904761904762,0.11152122731070101,0.03762076109316144,32,0.4375,0.5034722222222222,0.4320652173913043,0.4576791465378422,0.03245652015622812,26
0.39881094296773273,0.005192003964514208,0.03733086585998535,0.002323544515651122,True,56,8,5,16,323,"OrderedDict({'bootstrap': True, 'max_depth': 56, 'max_features': 8, 'min_samples_leaf': 5, 'min_samples_split': 16, 'n_estimators': 323})",0.0782608695652174,0.13333333333333333,0.064,0.09186473429951691,0.029895112527631405,44,0.4633736559139785,0.46950483091787437,0.43478260869565216,0.4558870318425017,0.015131541758923258,28
0.4618033568064372,0.014331304942126947,0.047181288401285805,0.0013872718422993113,True,336,4,9,7,422,"OrderedDict({'bootstrap': True, 'max_depth': 336, 'max_features': 4, 'min_samples_leaf': 9, 'min_samples_split': 7, 'n_estimators': 422})",0.12727272727272726,0.1,0.13043478260869565,0.11923583662714098,0.01366291102575326,29,0.46875,0.41666666666666663,0.40625,0.4305555555555555,0.027340305118096573,49
0.5034719308217367,0.022131742629466114,0.04921094576517741,0.001802792983584377,True,376,3,6,18,428,"OrderedDict({'bootstrap': True, 'max_depth': 376, 'max_features': 3, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 428})",0.034782608695652174,0.12380952380952381,0.1619047619047619,0.10683229813664596,0.05326775198805221,33,0.40625,0.4756944444444444,0.46875,0.45023148148148145,0.031228559174148237,34
0.46428465843200684,0.020508633696641087,0.03449654579162598,0.0011280522216344953,True,462,9,7,18,319,"OrderedDict({'bootstrap': True, 'max_depth': 462, 'max_features': 9, 'min_samples_leaf': 7, 'min_samples_split': 18, 'n_estimators': 319})",0.07272727272727272,0.175,0.12,0.12257575757575756,0.04179237236041379,27,0.46606182795698925,0.4702596618357488,0.46875,0.46835716326424603,0.001736124581576976,17
0.18605550130208334,0.0033021653470936734,0.019100030263264973,0.0008450996298269586,True,153,8,5,16,153,"OrderedDict({'bootstrap': True, 'max_depth': 153, 'max_features': 8, 'min_samples_leaf': 5, 'min_samples_split': 16, 'n_estimators': 153})",0.13333333333333333,0.11818181818181818,0.11818181818181818,0.12323232323232323,0.007142492739258056,26,0.46606182795698925,0.3888888888888889,0.5258152173913043,0.4602553114123942,0.05605052235899822,22
0.432754119237264,0.006439001354454305,0.03736384709676107,0.002774791852049924,True,33,5,6,7,317,"OrderedDict({'bootstrap': True, 'max_depth': 33, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 317})",0.2578947368421053,0.12,0.2636363636363636,0.21384370015948964,0.06639890367709035,1,0.4375,0.44172705314009664,0.46603260869565216,0.44841988727858295,0.012573065427035339,40
