mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_custom,split1_test_custom,split2_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.31941699981689453,0.01010567041418962,0.03382062911987305,0.001210774523504792,True,237,7,7,14,318,"OrderedDict({'bootstrap': True, 'max_depth': 237, 'max_features': 7, 'min_samples_leaf': 7, 'min_samples_split': 14, 'n_estimators': 318})",0.08,0.0,0.125,0.06833333333333334,0.05169354139756941,35,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.22578040758768717,0.005293007698799659,0.02497998873392741,0.0006013225478074649,True,130,7,10,18,234,"OrderedDict({'bootstrap': True, 'max_depth': 130, 'max_features': 7, 'min_samples_leaf': 10, 'min_samples_split': 18, 'n_estimators': 234})",0.0,0.0,0.225,0.075,0.10606601717798214,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.35047101974487305,0.004603120781741606,0.03708958625793457,0.00020382329818545374,True,398,6,9,13,370,"OrderedDict({'bootstrap': True, 'max_depth': 398, 'max_features': 6, 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 370})",0.08,0.125,0.125,0.11,0.021213203435596423,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.1899601618448893,0.0032934155410335817,0.022556622823079426,0.0003980079682851448,True,26,3,5,7,205,"OrderedDict({'bootstrap': True, 'max_depth': 26, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 205})",0.08,0.0,0.225,0.10166666666666667,0.09312476696465995,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.358349084854126,0.002933059747325138,0.036536057790120445,0.0009180693538888755,True,59,6,7,7,368,"OrderedDict({'bootstrap': True, 'max_depth': 59, 'max_features': 6, 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 368})",0.1,0.1,0.1,0.10000000000000002,1.3877787807814457e-17,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.3136879603068034,0.010184351477471109,0.029821395874023438,0.0007567680871083322,True,86,6,5,9,284,"OrderedDict({'bootstrap': True, 'max_depth': 86, 'max_features': 6, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 284})",0.0,0.125,0.0,0.041666666666666664,0.05892556509887896,37,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.28604594866434735,0.006143170559158736,0.027079343795776367,0.0003501417449741989,True,111,8,2,11,262,"OrderedDict({'bootstrap': True, 'max_depth': 111, 'max_features': 8, 'min_samples_leaf': 2, 'min_samples_split': 11, 'n_estimators': 262})",0.1,0.0,0.0,0.03333333333333333,0.047140452079103175,42,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.3735837936401367,0.010271358576397037,0.03414193789164225,0.0017243169027207565,True,146,9,3,18,338,"OrderedDict({'bootstrap': True, 'max_depth': 146, 'max_features': 9, 'min_samples_leaf': 3, 'min_samples_split': 18, 'n_estimators': 338})",0.08,0.0,0.0,0.02666666666666667,0.03771236166328253,46,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.07925645510355632,0.000465979555614324,0.011034647623697916,6.0786711836438797e-05,True,103,7,2,7,75,"OrderedDict({'bootstrap': True, 'max_depth': 103, 'max_features': 7, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 75})",0.1,0.1,0.1,0.10000000000000002,1.3877787807814457e-17,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.37733014424641925,0.00345593857265868,0.0369718869527181,0.0008448526959464586,True,204,7,6,11,371,"OrderedDict({'bootstrap': True, 'max_depth': 204, 'max_features': 7, 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 371})",0.0,0.225,0.0,0.075,0.10606601717798214,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.20192797978719076,0.009622102580986874,0.02208733558654785,0.0005781012922698553,True,253,8,9,12,190,"OrderedDict({'bootstrap': True, 'max_depth': 253, 'max_features': 8, 'min_samples_leaf': 9, 'min_samples_split': 12, 'n_estimators': 190})",0.2,0.125,0.0,0.10833333333333334,0.08249579113843056,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.39777453740437824,0.008511308971205292,0.038971662521362305,0.002201627757801091,True,332,9,9,7,396,"OrderedDict({'bootstrap': True, 'max_depth': 332, 'max_features': 9, 'min_samples_leaf': 9, 'min_samples_split': 7, 'n_estimators': 396})",0.18,0.125,0.0,0.10166666666666667,0.07531415685130002,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.08426658312479655,0.0048437765087247855,0.012015024820963541,0.0007118035914102566,True,457,2,3,19,82,"OrderedDict({'bootstrap': True, 'max_depth': 457, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 19, 'n_estimators': 82})",0.0,0.0,0.125,0.041666666666666664,0.05892556509887896,37,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.4631946086883545,0.020633916889101597,0.04674919446309408,0.0018648873600363672,True,454,2,2,18,492,"OrderedDict({'bootstrap': True, 'max_depth': 454, 'max_features': 2, 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 492})",0.0,0.0,0.0,0.0,0.0,47,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.07209451993306477,0.007345975919411967,0.010025421778361002,0.0003427152608719882,True,494,10,3,5,54,"OrderedDict({'bootstrap': True, 'max_depth': 494, 'max_features': 10, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 54})",0.0,0.0,0.225,0.075,0.10606601717798214,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.48243141174316406,0.004031488785173468,0.04469728469848633,0.0008324810238944496,True,421,5,10,11,468,"OrderedDict({'bootstrap': True, 'max_depth': 421, 'max_features': 5, 'min_samples_leaf': 10, 'min_samples_split': 11, 'n_estimators': 468})",0.0,0.35,0.0,0.11666666666666665,0.1649915822768611,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
