mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.3317876656850179,0.002057598513653193,0.016741593678792317,6.72690696332045e-05,True,314,8,8,16,331,"OrderedDict({'bootstrap': True, 'max_depth': 314, 'max_features': 8, 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 331})",0.3125,0.3333333333333333,0.3177083333333333,0.3211805555555555,0.008852464433320802,37
0.35245482126871747,0.0066905194034985295,0.01732977231343587,0.00019449972130369548,True,331,9,5,16,347,"OrderedDict({'bootstrap': True, 'max_depth': 331, 'max_features': 9, 'min_samples_leaf': 5, 'min_samples_split': 16, 'n_estimators': 347})",0.3177083333333333,0.3333333333333333,0.328125,0.3263888888888889,0.006495932963149206,27
0.3900762399037679,0.028358715465414474,0.01944279670715332,0.0015220956666662595,True,150,9,2,12,357,"OrderedDict({'bootstrap': True, 'max_depth': 150, 'max_features': 9, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 357})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.06444215774536133,0.0017237232703234818,0.005105336507161458,8.001737024626044e-05,True,75,8,6,18,60,"OrderedDict({'bootstrap': True, 'max_depth': 75, 'max_features': 8, 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 60})",0.3020833333333333,0.3333333333333333,0.3125,0.3159722222222222,0.012991865926298406,43
0.32727662722269696,0.004401826459031187,0.01577274004618327,0.0002015252774775137,True,194,9,5,10,317,"OrderedDict({'bootstrap': True, 'max_depth': 194, 'max_features': 9, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 317})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.2114720344543457,0.009989317131716807,0.010913451512654623,0.0002549493550656234,True,436,8,9,10,199,"OrderedDict({'bootstrap': True, 'max_depth': 436, 'max_features': 8, 'min_samples_leaf': 9, 'min_samples_split': 10, 'n_estimators': 199})",0.3072916666666667,0.3333333333333333,0.3177083333333333,0.3194444444444444,0.010702107644043347,39
0.22184292475382486,0.0065508506800788235,0.011688311894734701,0.00013884961667489534,True,243,5,5,9,218,"OrderedDict({'bootstrap': True, 'max_depth': 243, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 218})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.31109046936035156,0.0026075443791656913,0.01564900080362956,0.0003421703582163824,True,134,7,3,5,311,"OrderedDict({'bootstrap': True, 'max_depth': 134, 'max_features': 7, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 311})",0.3333333333333333,0.3333333333333333,0.328125,0.3315972222222222,0.002455231879119948,13
0.22870310147603354,0.006521396047834758,0.011690537134806315,0.0002476250862110183,True,75,8,5,19,221,"OrderedDict({'bootstrap': True, 'max_depth': 75, 'max_features': 8, 'min_samples_leaf': 5, 'min_samples_split': 19, 'n_estimators': 221})",0.3125,0.3333333333333333,0.3177083333333333,0.3211805555555555,0.008852464433320802,37
0.2492974599202474,0.0032632944151397615,0.012715816497802734,8.897411683563858e-06,True,346,6,4,16,245,"OrderedDict({'bootstrap': True, 'max_depth': 346, 'max_features': 6, 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 245})",0.328125,0.3333333333333333,0.328125,0.3298611111111111,0.0024552318791199483,21
