mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_custom,split1_test_custom,split2_test_custom,mean_test_custom,std_test_custom,rank_test_custom,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro
0.4118796984354655,0.0059039064702677,0.0428617000579834,0.0006717593419292021,True,484,5,5,12,434,"OrderedDict({'bootstrap': True, 'max_depth': 484, 'max_features': 5, 'min_samples_leaf': 5, 'min_samples_split': 12, 'n_estimators': 434})",0.1,0.125,0.125,0.11666666666666665,0.01178511301977579,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.09477647145589192,0.004224195833820533,0.013524929682413736,0.0002776575408372315,True,25,3,5,13,94,"OrderedDict({'bootstrap': True, 'max_depth': 25, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 13, 'n_estimators': 94})",0.16,0.1,0.125,0.12833333333333333,0.02460803843372233,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.1853182315826416,0.0033721327944977644,0.02068328857421875,0.00027846010823240564,True,162,9,4,8,175,"OrderedDict({'bootstrap': True, 'max_depth': 162, 'max_features': 9, 'min_samples_leaf': 4, 'min_samples_split': 8, 'n_estimators': 175})",0.1,0.1,0.125,0.10833333333333334,0.01178511301977579,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.08295965194702148,0.0035268293024844767,0.012504975001017252,0.0007279398392830291,True,439,9,8,12,77,"OrderedDict({'bootstrap': True, 'max_depth': 439, 'max_features': 9, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 77})",0.1,0.125,0.0,0.075,0.05400617248673217,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.16256070137023926,0.007359382809245881,0.017191569010416668,0.00022705806311884864,True,207,9,3,10,145,"OrderedDict({'bootstrap': True, 'max_depth': 207, 'max_features': 9, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 145})",0.1,0.0,0.0,0.03333333333333333,0.047140452079103175,41,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.3086518446604411,0.019529786124655776,0.030077775319417317,0.0018120542136479064,True,402,8,4,5,282,"OrderedDict({'bootstrap': True, 'max_depth': 402, 'max_features': 8, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 282})",0.0,0.0,0.0,0.0,0.0,45,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.41986242930094403,0.009527138398039751,0.04334799448649088,0.001135754848829852,True,448,3,2,14,449,"OrderedDict({'bootstrap': True, 'max_depth': 448, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 14, 'n_estimators': 449})",0.1,0.25,0.0,0.11666666666666665,0.10274023338281628,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.32102513313293457,0.013523327147871043,0.03490710258483887,0.0006356882581238886,True,389,2,7,9,345,"OrderedDict({'bootstrap': True, 'max_depth': 389, 'max_features': 2, 'min_samples_leaf': 7, 'min_samples_split': 9, 'n_estimators': 345})",0.26,0.125,0.0,0.12833333333333333,0.10617072205755325,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.23508350054423013,0.010191241818862535,0.02419726053873698,0.0015428434547613862,True,483,9,9,13,220,"OrderedDict({'bootstrap': True, 'max_depth': 483, 'max_features': 9, 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 220})",0.1,0.125,0.225,0.15,0.05400617248673217,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
0.46318308512369794,0.012162987160170058,0.04555066426595052,0.0010939636620132655,True,60,4,3,15,474,"OrderedDict({'bootstrap': True, 'max_depth': 60, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 474})",0.08,0.1,0.125,0.10166666666666667,0.018408935028645435,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1
